Weight,Acc@1,Acc@5,Params,GFLOPS,Recipe,Card
AlexNet_Weights.IMAGENET1K_V1,56.522,79.066,61.1M,0.71,https://github.com/pytorch/vision/tree/main/references/classification#alexnet-and-vgg,https://pytorch.org/vision/stable/models/generated/torchvision.models.alexnet.html#torchvision.models.AlexNet_Weights
ConvNeXt_Base_Weights.IMAGENET1K_V1,84.062,96.87,88.6M,15.36,https://github.com/pytorch/vision/tree/main/references/classification#convnext,https://pytorch.org/vision/stable/models/generated/torchvision.models.convnext_base.html#torchvision.models.ConvNeXt_Base_Weights
ConvNeXt_Large_Weights.IMAGENET1K_V1,84.414,96.976,197.8M,34.36,https://github.com/pytorch/vision/tree/main/references/classification#convnext,https://pytorch.org/vision/stable/models/generated/torchvision.models.convnext_large.html#torchvision.models.ConvNeXt_Large_Weights
ConvNeXt_Small_Weights.IMAGENET1K_V1,83.616,96.65,50.2M,8.68,https://github.com/pytorch/vision/tree/main/references/classification#convnext,https://pytorch.org/vision/stable/models/generated/torchvision.models.convnext_small.html#torchvision.models.ConvNeXt_Small_Weights
ConvNeXt_Tiny_Weights.IMAGENET1K_V1,82.52,96.146,28.6M,4.46,https://github.com/pytorch/vision/tree/main/references/classification#convnext,https://pytorch.org/vision/stable/models/generated/torchvision.models.convnext_tiny.html#torchvision.models.ConvNeXt_Tiny_Weights
DenseNet121_Weights.IMAGENET1K_V1,74.434,91.972,8.0M,2.83,https://github.com/pytorch/vision/pull/116,https://pytorch.org/vision/stable/models/generated/torchvision.models.densenet121.html#torchvision.models.DenseNet121_Weights
DenseNet161_Weights.IMAGENET1K_V1,77.138,93.56,28.7M,7.73,https://github.com/pytorch/vision/pull/116,https://pytorch.org/vision/stable/models/generated/torchvision.models.densenet161.html#torchvision.models.DenseNet161_Weights
DenseNet169_Weights.IMAGENET1K_V1,75.6,92.806,14.1M,3.36,https://github.com/pytorch/vision/pull/116,https://pytorch.org/vision/stable/models/generated/torchvision.models.densenet169.html#torchvision.models.DenseNet169_Weights
DenseNet201_Weights.IMAGENET1K_V1,76.896,93.37,20.0M,4.29,https://github.com/pytorch/vision/pull/116,https://pytorch.org/vision/stable/models/generated/torchvision.models.densenet201.html#torchvision.models.DenseNet201_Weights
EfficientNet_B0_Weights.IMAGENET1K_V1,77.692,93.532,5.3M,0.39,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v1,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_b0.html#torchvision.models.EfficientNet_B0_Weights
EfficientNet_B1_Weights.IMAGENET1K_V1,78.642,94.186,7.8M,0.69,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v1,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_b1.html#torchvision.models.EfficientNet_B1_Weights
EfficientNet_B1_Weights.IMAGENET1K_V2,79.838,94.934,7.8M,0.69,https://github.com/pytorch/vision/issues/3995#new-recipe-with-lr-wd-crop-tuning,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_b1.html#torchvision.models.EfficientNet_B1_Weights
EfficientNet_B2_Weights.IMAGENET1K_V1,80.608,95.31,9.1M,1.09,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v1,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_b2.html#torchvision.models.EfficientNet_B2_Weights
EfficientNet_B3_Weights.IMAGENET1K_V1,82.008,96.054,12.2M,1.83,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v1,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_b3.html#torchvision.models.EfficientNet_B3_Weights
EfficientNet_B4_Weights.IMAGENET1K_V1,83.384,96.594,19.3M,4.39,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v1,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_b4.html#torchvision.models.EfficientNet_B4_Weights
EfficientNet_B5_Weights.IMAGENET1K_V1,83.444,96.628,30.4M,10.27,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v1,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_b5.html#torchvision.models.EfficientNet_B5_Weights
EfficientNet_B6_Weights.IMAGENET1K_V1,84.008,96.916,43.0M,19.07,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v1,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_b6.html#torchvision.models.EfficientNet_B6_Weights
EfficientNet_B7_Weights.IMAGENET1K_V1,84.122,96.908,66.3M,37.75,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v1,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_b7.html#torchvision.models.EfficientNet_B7_Weights
EfficientNet_V2_L_Weights.IMAGENET1K_V1,85.808,97.788,118.5M,56.08,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v2,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_v2_l.html#torchvision.models.EfficientNet_V2_L_Weights
EfficientNet_V2_M_Weights.IMAGENET1K_V1,85.112,97.156,54.1M,24.58,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v2,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_v2_m.html#torchvision.models.EfficientNet_V2_M_Weights
EfficientNet_V2_S_Weights.IMAGENET1K_V1,84.228,96.878,21.5M,8.37,https://github.com/pytorch/vision/tree/main/references/classification#efficientnet-v2,https://pytorch.org/vision/stable/models/generated/torchvision.models.efficientnet_v2_s.html#torchvision.models.EfficientNet_V2_S_Weights
